,node_id,project_id,vsn,address,lat,lon,description,start_timestamp,end_timestamp,x,y,612_1,612_2,612_3,612_4,612_5,612_6,612_7,705_1,705_2,705_3,705_4,705_5,705_6,705_7,831_1,831_2,831_3,831_4,831_5,831_6,831_7,1009_1,1009_2,1009_3,1009_4,1009_5,1009_6,1009_7
106,001e0611856d,AoT_Chicago,0B3,107th St & Longwood Ave Chicago IL,41.699234000000004,-87.671154,AoT Chicago (S) [CP],2019/06/25 00:00:00,,444155.50078727235,4616600.981565385,9662,9735,10878,10545,19469,14944,12581,9411,9600,10454,10357,17408,14451,12107,9716,9918,10578,10649,16332,14748,12232,9199,9488,10348,10261,15671,13626,11582
107,001e061184a3,AoT_Chicago,0B4,99th St & Beverly Blvd Chicago IL,41.714021,-87.659612,AoT Chicago (S) [CP],2019/06/25 00:00:00,,445128.4524275845,4618235.274263699,9657,9951,10985,11020,16143,13949,12189,9804,10031,10753,10756,15388,13317,11404,9296,9652,10592,10788,14851,13304,11678,9556,9808,10582,10735,14421,12617,11136
108,001e06117b44,AoT_Chicago,0B5,95th St & Ashland Ave Chicago IL,41.721301000000004,-87.66263000000002,AoT Chicago (S) [CP],2019/06/25 00:00:00,,444883.6116134727,4619045.458483365,10030,10911,12624,13043,16017,15287,14430,9930,10433,11498,11899,13569,14867,14032,9787,10468,11534,12023,13530,14259,13358,9827,10207,11367,11647,13199,14132,13352
109,001e061183f3,AoT_Chicago,0B7,103rd & Western Ave Chicago IL,41.706381,-87.681606,AoT Chicago (S) [CP],2019/06/25 00:00:00,,443292.0998765504,4617401.300041462,9993,10621,11743,12161,14263,14503,13325,10174,10574,11384,11758,14229,14376,13096,9497,10065,11104,11491,14122,14008,12777,9586,10151,11259,11690,14026,13343,12435
110,001e06117b41,AoT_Chicago,0BA,60th & Michigan Ave Chicago IL,41.785715,-87.622214,AoT Chicago (S) [CP],2019/05/16 00:00:00,,448297.07904586056,4626171.92545552,10072,10725,12061,12362,15756,15255,13650,10125,10471,11592,11850,14568,14554,13165,10177,10582,11464,11695,14654,14676,13132,9980,10280,11195,11424,13817,13570,12291
111,001e061182a1,AoT_Chicago,0BD,Garfield Blvd & Michigan Ave Chicago IL,41.794467,-87.622479,AoT Chicago (S) [CP],2019/05/16 00:00:00,,448282.09411767486,4627143.780259969,9869,10044,11474,11441,17181,14903,13287,9670,9992,11227,11462,15854,14351,12791,10053,10233,11209,11488,14796,14639,12954,9012,9504,10804,10905,14033,13586,12396
112,001e061183eb,AoT_Chicago,0BE,63rd St & Halsted Ave Chicago IL,41.779889000000004,-87.644777,AoT Chicago (S) [CP],2019/05/16 00:00:00,,446417.34557362203,4625538.9050250845,11954,13127,13975,14782,16750,16799,13901,12770,13658,14218,14820,16650,15731,13439,10642,11887,13569,14145,16403,16436,13672,11039,11943,12736,13682,15707,15274,12913
113,001e061183f5,AoT_Chicago,0BF,111th & Michigan Ave Chicago IL,41.692703,-87.62102,AoT Chicago (S) [CP],2019/06/24 00:00:00,,448321.77662990754,4615844.592796921,10201,11036,12397,13025,14196,15490,14546,10868,11511,12842,13691,14730,15506,14395,10326,10824,11795,12307,13470,14053,13390,9887,10572,11618,12141,13375,14119,13221
114,001e061182a7,AoT_Chicago,0C0,111th & Vincennes Chicago IL,41.691803,-87.663723,AoT Chicago (S) [CP],2019/06/24 00:00:00,,444767.4554918455,4615771.171941947,8818,9086,10369,9927,20761,15278,11685,8632,8873,9756,9875,17690,15716,11755,9527,9825,10861,11583,18586,19221,14145,8463,8696,9643,9281,17924,14842,10931
115,001e06118509,AoT_Chicago,0C2,Racine Ave & 63rd St Chicago IL,41.779744,-87.654487,AoT Chicago (S) [CP],2019/04/25 00:00:00,,445610.29267988016,4625528.902415955,10294,10596,11562,11540,17629,14925,12944,10554,10816,11234,11300,16453,14731,12775,10548,10775,11259,11444,15675,14677,12873,8817,9302,10906,11140,14440,13436,12074
116,001e06118182,AoT_Chicago,0C3,Loomis Ave & 63rd St Chicago IL,41.779593,-87.65935400000002,AoT Chicago (S) [CP],2019/04/25 00:00:00,,445205.7007353949,4625515.227432547,10281,10839,11757,11947,16157,14835,13161,10278,10541,11358,11633,15608,13854,12457,9614,10065,10902,11015,15602,13833,12152,9667,10079,11127,11259,14745,13700,12023
117,001e061184e7,AoT_Chicago,0E1,Kostner Ave & 31st St Chicago IL,41.836875,-87.734087,AoT Chicago (S) [CP],2019/04/25 00:00:00,,439049.4499247301,4631925.347872926,8776,9303,10291,9595,20841,14008,11775,9543,9914,11233,11528,16878,15600,12844,10176,10487,11323,11812,16792,16381,13122,9473,9894,10784,10500,16878,14313,11602
118,001e06118295,AoT_Chicago,0EA,Pershing Rd & Damen Ave Chicago IL,41.820972,-87.802435,AoT Chicago (S) [CP],2019/04/25 00:00:00,,433358.0476025088,4630210.4473811975,10291,10853,11421,11918,12972,13623,12931,9594,10095,11253,11637,12679,13130,12400,9894,10484,10993,11518,12379,12944,11897,9623,10106,11043,11336,12300,12487,11829
119,001e061182a3,AoT_Chicago,0F2,ComEd Training Center,41.829806,-87.659467,AoT Chicago (S) [CP] {ComEd},2019/04/25 00:00:00,,445239.0851780891,4631090.242888472,10585,11008,11864,12233,15061,14693,13214,10084,10523,11555,11949,14662,14888,13502,9826,10550,11828,12436,14748,15143,13663,10157,10696,11780,12105,14467,14500,13121
120,001e061181e8,AoT_Chicago,10C,ComEd Training Center,41.829806,-87.659467,AoT Chicago (S) [CP] {ComEd},2019/04/25 00:00:00,,445239.0851780891,4631090.242888472,10585,11008,11864,12233,15061,14693,13214,10084,10523,11555,11949,14662,14888,13502,9826,10550,11828,12436,14748,15143,13663,10157,10696,11780,12105,14467,14500,13121
121,001e06118433,AoT_Chicago,10E,ComEd Training Center,41.829806,-87.659467,AoT Chicago (S) [CP] {ComEd},2019/04/25 00:00:00,,445239.0851780891,4631090.242888472,10585,11008,11864,12233,15061,14693,13214,10084,10523,11555,11949,14662,14888,13502,9826,10550,11828,12436,14748,15143,13663,10157,10696,11780,12105,14467,14500,13121
122,001e061183bf,AoT_Chicago,11A,ComEd Training Center,41.829806,-87.659467,AoT Chicago (S) [CP] {ComEd},2019/04/25 00:00:00,,445239.0851780891,4631090.242888472,10585,11008,11864,12233,15061,14693,13214,10084,10523,11555,11949,14662,14888,13502,9826,10550,11828,12436,14748,15143,13663,10157,10696,11780,12105,14467,14500,13121
123,001e0611804d,AoT_Chicago,11E,ComEd Training Center,41.829806,-87.659467,AoT Chicago (S) [CP] {ComEd},2019/04/25 00:00:00,,445239.0851780891,4631090.242888472,10585,11008,11864,12233,15061,14693,13214,10084,10523,11555,11949,14662,14888,13502,9826,10550,11828,12436,14748,15143,13663,10157,10696,11780,12105,14467,14500,13121
124,001e061182a2,AoT_Chicago,13B,ComEd Training Center,41.829806,-87.659467,AoT Chicago (S) [CP] {ComEd},2019/04/25 00:00:00,,445239.0851780891,4631090.242888472,10585,11008,11864,12233,15061,14693,13214,10084,10523,11555,11949,14662,14888,13502,9826,10550,11828,12436,14748,15143,13663,10157,10696,11780,12105,14467,14500,13121
125,001e061144be,AoT_Chicago,890,"UChicago, Regenstine Chicago IL",41.792543,-87.600008,AoT Chicago (S) [C] {UChicago},2018/03/15 00:00:00,,450147.5866704325,4626916.892470623,10722,10922,12742,12801,19652,16957,12897,9633,9947,11424,11411,17890,14894,11632,10295,10527,12218,12585,15874,15325,12080,9327,9513,10270,10123,12494,11538,9960
